IDCJAC0001,23752,1886,1,47.2,Y,,,,,,,,,,
IDCJAC0001,23752,1886,2,14,Y,,,,,,,,,,
IDCJAC0001,23752,1886,3,0,Y,,,,,,,,,,
IDCJAC0001,23752,1886,4,47.8,Y,,,,,,,,,,
IDCJAC0001,23752,1886,5,31.7,Y,,,,,,,,,,
IDCJAC0001,23752,1886,6,26.2,Y,,,,,,,,,,
IDCJAC0001,23752,1886,7,106.2,Y,,,,,,,,,,
IDCJAC0001,23752,1886,8,139.9,Y,,,,,,,,,,
IDCJAC0001,23752,1886,9,91.4,Y,,,,,,,,,,
IDCJAC0001,23752,1886,10,131,Y,,,,,,,,,,
IDCJAC0001,23752,1886,11,49.3,Y,,,,,,,,,,
IDCJAC0001,23752,1886,12,19.5,Y,,,,,,,,,,
IDCJAC0001,23752,1887,1,7.1,Y,,,,,,,,,,
IDCJAC0001,23752,1887,2,2.5,Y,,,,,,,,,,
IDCJAC0001,23752,1887,3,26.2,Y,,,,,,,,,,
IDCJAC0001,23752,1887,4,50.6,Y,,,,,,,,,,
IDCJAC0001,23752,1887,5,83.7,Y,,,,,,,,,,
IDCJAC0001,23752,1887,6,180.8,Y,,,,,,,,,,
IDCJAC0001,23752,1887,7,117.1,Y,,,,,,,,,,
IDCJAC0001,23752,1887,8,62.1,Y,,,,,,,,,,
IDCJAC0001,23752,1887,9,110.2,Y,,,,,,,,,,
IDCJAC0001,23752,1887,10,76.9,Y,,,,,,,,,,
